itemLabel,occupationLabel
Hilaire de Poitiers,théologien
Hilaire de Poitiers,philosophe
Alexandre d'Alexandrie,prêtre
Minervina,
Eutropia,dirigeant
Valeria Maximilla,
Constance II,personnalité politique
Théodose Ier,personnalité politique
Valentinien Ier,personnalité politique
Constantin II,personnalité politique
Valérien,personnalité politique
Quintus Aulius Cerretanus,homme politique de la Rome antique
Quintus Aulius Cerretanus,militaire
Caius Valarius Sabinus,personnalité politique
Carus,militaire
Probus,personnalité politique
Silvanus,militaire
Didyme l'Aveugle,écrivain
Didyme l'Aveugle,théologien
Abudius Ruso,personnalité politique
Lucain,écrivain
Lucain,poète
Lucain,historien
Clément d'Alexandrie,écrivain
Clément d'Alexandrie,théologien
Clément d'Alexandrie,philosophe
Maximin II Daïa,personnalité politique
Maximin II Daïa,agriculteur
Gratien,militaire
Gratien,personnalité politique
Apollodore de Damas,écrivain
Apollodore de Damas,architecte
Apollodore de Damas,ingénieur
Apollodore de Damas,urbaniste
Philon d'Alexandrie,historien
Philon d'Alexandrie,philosophe
Zénobie,reine régnante
Carin,personnalité politique
Cyprien de Carthage,écrivain
Cyprien de Carthage,prêtre
Cyprien de Carthage,philosophe
Appien,écrivain
Appien,avocat
Appien,historien
Germanicus,écrivain
Germanicus,militaire
Germanicus,poète
Germanicus,personnalité politique
Pétrone Maxime,personnalité politique
Majorien,dirigeant
Valentin de Terni,médecin
Servius Tullius,homme politique de la Rome antique
Tarquin le Superbe,monarque
Livius Andronicus,écrivain
Livius Andronicus,poète
Livius Andronicus,dramaturge
Livius Andronicus,traducteur
Caton d'Utique,écrivain
Caton d'Utique,homme politique de la Rome antique
Caton d'Utique,militaire
Flavius Anicius Olybrius,personnalité politique
Quintilien,enseignant
Quintilien,avocat
Quintilien,poète
Quintilien,rhéteur
Quintilien,pédagogue
Juvénal,écrivain
Juvénal,poète
Florien,militaire
Numa Pompilius,prêtre romain
Numa Pompilius,homme politique de la Rome antique
Tullus Hostilius,homme politique de la Rome antique
Agathe de Catane,martyr
Agathe de Catane,vierge
Marcus Statius Priscus,militaire
Marcus Statius Priscus,personnalité politique
Marcus Statius Priscus,officier
Pescennius Niger,personnalité politique
Pescennius Niger,soldat
Lucius Cornelius Balbus Minor,militaire
Lucius Cornelius Balbus Minor,personnalité politique
Constance III,
Volusien,personnalité politique
Glycérius,prêtre
Glycérius,clerc
Eparchus Avitus,prêtre
Eparchus Avitus,personnalité politique
Porphyre de Tyr,historien
Porphyre de Tyr,philosophe
Porphyre de Tyr,théoricien de la musique
Stilicon,militaire
Stilicon,personnalité politique
Marcus Hordeonius Flaccus,militaire
Marcus Hordeonius Flaccus,personnalité politique
Claudien,écrivain
Claudien,poète
Varron,écrivain
Varron,poète
Varron,grammaticus
Varron,philosophe
Varron,théoricien de la musique
Varron,annaliste
Varron,militaire
Varron,historien romain de l'antiquité
Ancus Marcius,homme politique de la Rome antique
Hippolyte de Rome,écrivain
Hippolyte de Rome,antipape
Hippolyte de Rome,évêque catholique
Hippolyte de Rome,théologien
Libius Severus,personnalité politique
Caius Cassius Longinus,homme politique de la Rome antique
Égérie,voyageur
Égérie,religieuse chrétienne
Sextus Varius Marcellus,personnalité politique
Munatia Plancina,
Arnobe le Jeune,écrivain
Arnobe le Jeune,prêtre
Arnobe le Jeune,théologien
Publius Rutilius Lupus,homme politique de la Rome antique
Publius Rutilius Lupus,militaire
Titus Flavius Clemens,personnalité politique
Quintus Caecilius Metellus Numidicus,homme politique de la Rome antique
Quintus Caecilius Metellus Numidicus,militaire
Quintus Curtius Rufus,
Marcus Nummius Umbrius Primus Senecio Albinus,personnalité politique
Titus Veturius Geminus Cicurinus,homme politique de la Rome antique
Titus Veturius Geminus Cicurinus,militaire
Appius Claudius Sabinus,homme politique de la Rome antique
Appius Claudius Sabinus,militaire
Eulalie de Mérida,
Decimus Carfulenus,militaire
Caius Julius Antiochus Epiphanes Philopappus,militaire
Caius Julius Antiochus Epiphanes Philopappus,personnalité politique
Marcus Atius Balbus,homme politique de la Rome antique
Marcus Atius Balbus,militaire
Caius Silius,militaire
Caius Silius,personnalité politique
Ossius de Cordoue,écrivain
Ossius de Cordoue,prêtre catholique
Publius Cornelius Scipio Nasica Serapio,homme politique de la Rome antique
Publius Cornelius Scipio Nasica Serapio,militaire
Publius Volumnius Amintinus Gallus,homme politique de la Rome antique
Publius Volumnius Amintinus Gallus,militaire
Victorine,
Épaphrodite,personnalité politique
Épaphrodite,fonctionnaire
Lucius Cassius Longinus Ravilla,homme politique de la Rome antique
Lucius Cassius Longinus Ravilla,militaire
Caenis,personnalité politique
Eutropia,
Valérie de Milan,
Sosipatra,philosophe
Flavia Domitilla,
Aulu-Gelle,écrivain
Aulu-Gelle,militaire
Aulu-Gelle,poète
Aulu-Gelle,juriste
Aulu-Gelle,philosophe
Aulu-Gelle,grammairien
Aulu-Gelle,compilateur
Decimus Junius Brutus Albinus,homme politique de la Rome antique
Decimus Junius Brutus Albinus,militaire
Marcus Furius Camillus,homme politique de la Rome antique
Marcus Furius Camillus,militaire
Sextus Pompée,homme politique de la Rome antique
Sextus Pompée,militaire
Laurent,juge
Laurent,prêtre catholique
Tibulle,élégiste
Pseudo-Marius,médecin
Pseudo-Marius,homme politique de la Rome antique
Publius Valerius Comazon Eutychianus,militaire
Publius Valerius Comazon Eutychianus,personnalité politique
Publius Valerius Comazon Eutychianus,officier
Ingenuus,personnalité politique
Afre d'Augsbourg,prostitué
Ecdicius,homme politique de la Rome antique
Marcus Gavius Apicius,écrivain
Marcus Gavius Apicius,poète
Marcus Gavius Apicius,chef cuisinier
Caius Julius Priscus,militaire
Caius Julius Priscus,personnalité politique
Séjan,militaire
Séjan,personnalité politique
Séjan,préfet du prétoire
Lucius Domitius Ahenobarbus,homme politique de la Rome antique
Lucius Domitius Ahenobarbus,militaire
Cnaeus Cornelius Scipio Hispallus,homme politique de la Rome antique
Cnaeus Cornelius Scipio Hispallus,militaire
Titus Calidius Severus,centurion
Pompée,homme politique de la Rome antique
Pompée,militaire
Publius Cornelius Sulla,militaire
Publius Cornelius Sulla,personnalité politique
Quintus Mamilius Vitulus,homme politique de la Rome antique
