item,occupationLabel
http://www.wikidata.org/entity/Q179824,militaire
http://www.wikidata.org/entity/Q180081,écrivain
http://www.wikidata.org/entity/Q180081,poète
http://www.wikidata.org/entity/Q180081,économiste
http://www.wikidata.org/entity/Q180081,homme politique de la Rome antique
http://www.wikidata.org/entity/Q180081,militaire
http://www.wikidata.org/entity/Q180081,historien romain de l'antiquité
http://www.wikidata.org/entity/Q180281,homme politique de la Rome antique
http://www.wikidata.org/entity/Q180281,militaire
http://www.wikidata.org/entity/Q180302,personnalité politique
http://www.wikidata.org/entity/Q180807,
http://www.wikidata.org/entity/Q181983,écrivain
http://www.wikidata.org/entity/Q181983,fonctionnaire
http://www.wikidata.org/entity/Q182070,personnalité politique
http://www.wikidata.org/entity/Q182190,homme politique de la Rome antique
http://www.wikidata.org/entity/Q182190,militaire
http://www.wikidata.org/entity/Q182243,poète
http://www.wikidata.org/entity/Q183089,personnalité politique
http://www.wikidata.org/entity/Q183144,philosophe
http://www.wikidata.org/entity/Q183332,soldat
http://www.wikidata.org/entity/Q183420,écrivain
http://www.wikidata.org/entity/Q183420,lexicographe
http://www.wikidata.org/entity/Q184549,personnalité politique
http://www.wikidata.org/entity/Q185223,écrivain
http://www.wikidata.org/entity/Q185223,militaire
http://www.wikidata.org/entity/Q185223,personnalité politique
http://www.wikidata.org/entity/Q185223,historien
http://www.wikidata.org/entity/Q185476,militaire
http://www.wikidata.org/entity/Q185476,personnalité politique
http://www.wikidata.org/entity/Q185519,homme politique de la Rome antique
http://www.wikidata.org/entity/Q185519,militaire
http://www.wikidata.org/entity/Q185538,personnalité politique
http://www.wikidata.org/entity/Q185732,écrivain
http://www.wikidata.org/entity/Q185732,poète
http://www.wikidata.org/entity/Q185732,fabuliste
http://www.wikidata.org/entity/Q185844,personnalité politique
http://www.wikidata.org/entity/Q210415,homme politique de la Rome antique
http://www.wikidata.org/entity/Q210415,militaire
http://www.wikidata.org/entity/Q210415,ancient Roman diplomat
http://www.wikidata.org/entity/Q210853,écrivain
http://www.wikidata.org/entity/Q210853,historien
http://www.wikidata.org/entity/Q211396,personnalité politique
http://www.wikidata.org/entity/Q212109,prêtre romain
http://www.wikidata.org/entity/Q212109,homme politique de la Rome antique
http://www.wikidata.org/entity/Q212109,militaire
http://www.wikidata.org/entity/Q212667,écrivain
http://www.wikidata.org/entity/Q212667,poète
http://www.wikidata.org/entity/Q212667,dramaturge
http://www.wikidata.org/entity/Q212671,homme politique de la Rome antique
http://www.wikidata.org/entity/Q212876,personnalité politique
http://www.wikidata.org/entity/Q214765,homme politique de la Rome antique
http://www.wikidata.org/entity/Q214765,militaire
http://www.wikidata.org/entity/Q218251,poète
http://www.wikidata.org/entity/Q218251,épigrammatiste
http://www.wikidata.org/entity/Q218431,sculpteur
http://www.wikidata.org/entity/Q218794,personnalité politique
http://www.wikidata.org/entity/Q220017,prêtre
http://www.wikidata.org/entity/Q220978,homme politique de la Rome antique
http://www.wikidata.org/entity/Q220978,militaire
http://www.wikidata.org/entity/Q221223,arpenteur
http://www.wikidata.org/entity/Q221465,évêque
http://www.wikidata.org/entity/Q221465,écrivain
http://www.wikidata.org/entity/Q221465,historien
http://www.wikidata.org/entity/Q221465,presbytre
http://www.wikidata.org/entity/Q222890,écrivain
http://www.wikidata.org/entity/Q222890,prêtre catholique
http://www.wikidata.org/entity/Q222890,presbytre
http://www.wikidata.org/entity/Q222890,théologien
http://www.wikidata.org/entity/Q223440,homme politique de la Rome antique
http://www.wikidata.org/entity/Q223440,militaire
http://www.wikidata.org/entity/Q223615,écrivain
http://www.wikidata.org/entity/Q223615,grammaticus
http://www.wikidata.org/entity/Q223615,linguiste
http://www.wikidata.org/entity/Q223615,grammairien
http://www.wikidata.org/entity/Q229246,philosophe
http://www.wikidata.org/entity/Q229413,personnalité politique
http://www.wikidata.org/entity/Q229432,
http://www.wikidata.org/entity/Q229483,
http://www.wikidata.org/entity/Q229836,aristocrate
http://www.wikidata.org/entity/Q229871,personnalité politique
http://www.wikidata.org/entity/Q230716,souverain
http://www.wikidata.org/entity/Q231063,
http://www.wikidata.org/entity/Q231258,personnalité politique
http://www.wikidata.org/entity/Q231262,empereur
http://www.wikidata.org/entity/Q231696,
http://www.wikidata.org/entity/Q232090,
http://www.wikidata.org/entity/Q232094,dirigeant
http://www.wikidata.org/entity/Q232229,aristocrate
http://www.wikidata.org/entity/Q232271,dirigeant
http://www.wikidata.org/entity/Q232329,personnalité politique
http://www.wikidata.org/entity/Q232380,personnalité politique
http://www.wikidata.org/entity/Q232716,
http://www.wikidata.org/entity/Q232725,aristocrate
http://www.wikidata.org/entity/Q233077,
http://www.wikidata.org/entity/Q233444,
http://www.wikidata.org/entity/Q233578,consort
http://www.wikidata.org/entity/Q233704,aristocrate
http://www.wikidata.org/entity/Q234533,écrivain
http://www.wikidata.org/entity/Q234562,dirigeant
http://www.wikidata.org/entity/Q234593,écrivain
http://www.wikidata.org/entity/Q234593,militaire
http://www.wikidata.org/entity/Q234593,poète
http://www.wikidata.org/entity/Q234593,personnalité politique
http://www.wikidata.org/entity/Q234665,
http://www.wikidata.org/entity/Q234734,garde malade
http://www.wikidata.org/entity/Q234825,
http://www.wikidata.org/entity/Q235087,écrivain
http://www.wikidata.org/entity/Q235090,personnalité politique
http://www.wikidata.org/entity/Q235423,
http://www.wikidata.org/entity/Q235586,personnalité politique
http://www.wikidata.org/entity/Q235603,
http://www.wikidata.org/entity/Q235627,écrivain
http://www.wikidata.org/entity/Q236259,
http://www.wikidata.org/entity/Q236459,
http://www.wikidata.org/entity/Q236466,impératrice romaine
http://www.wikidata.org/entity/Q236594,médecin
http://www.wikidata.org/entity/Q236594,médecin écrivain
http://www.wikidata.org/entity/Q236594,philosophe
http://www.wikidata.org/entity/Q236936,personnalité politique
http://www.wikidata.org/entity/Q236999,souverain
http://www.wikidata.org/entity/Q237583,ermite
http://www.wikidata.org/entity/Q237583,prostitué
http://www.wikidata.org/entity/Q237618,
http://www.wikidata.org/entity/Q237622,dirigeant
http://www.wikidata.org/entity/Q237629,
http://www.wikidata.org/entity/Q237861,empereur
http://www.wikidata.org/entity/Q237882,
http://www.wikidata.org/entity/Q237907,personnalité politique
http://www.wikidata.org/entity/Q237960,personnalité politique
http://www.wikidata.org/entity/Q237982,
http://www.wikidata.org/entity/Q238023,
http://www.wikidata.org/entity/Q238151,
http://www.wikidata.org/entity/Q238448,aristocrate
http://www.wikidata.org/entity/Q239010,dirigeant
http://www.wikidata.org/entity/Q239015,personnalité politique
http://www.wikidata.org/entity/Q239314,monarque
http://www.wikidata.org/entity/Q2259,aristocrate
http://www.wikidata.org/entity/Q2307,homme politique de la Rome antique
http://www.wikidata.org/entity/Q2307,militaire
http://www.wikidata.org/entity/Q4298,écrivain
http://www.wikidata.org/entity/Q4298,médecin
http://www.wikidata.org/entity/Q4298,militaire
http://www.wikidata.org/entity/Q4298,poète
http://www.wikidata.org/entity/Q4298,historien
