item,positionLabel
http://www.wikidata.org/entity/Q177975,tribun de la plèbe
http://www.wikidata.org/entity/Q177975,sénateur romain
http://www.wikidata.org/entity/Q177980,empereur romain
http://www.wikidata.org/entity/Q177980,sénateur romain
http://www.wikidata.org/entity/Q177988,empereur romain
http://www.wikidata.org/entity/Q177988,sénateur romain
http://www.wikidata.org/entity/Q178217,
http://www.wikidata.org/entity/Q179079,consul
http://www.wikidata.org/entity/Q179079,consul suffect
http://www.wikidata.org/entity/Q179079,sénateur romain
http://www.wikidata.org/entity/Q179718,
http://www.wikidata.org/entity/Q179824,
http://www.wikidata.org/entity/Q180081,consul
http://www.wikidata.org/entity/Q180081,questeur
http://www.wikidata.org/entity/Q180081,censeur
http://www.wikidata.org/entity/Q180081,gouverneur romain
http://www.wikidata.org/entity/Q180081,sénateur romain
http://www.wikidata.org/entity/Q180281,consul
http://www.wikidata.org/entity/Q180281,sénateur romain
http://www.wikidata.org/entity/Q180302,comes Africae
http://www.wikidata.org/entity/Q180807,
http://www.wikidata.org/entity/Q181983,évêque
http://www.wikidata.org/entity/Q182070,empereur romain
http://www.wikidata.org/entity/Q182070,sénateur romain
http://www.wikidata.org/entity/Q182190,sénateur romain
http://www.wikidata.org/entity/Q182243,
http://www.wikidata.org/entity/Q183089,consul
http://www.wikidata.org/entity/Q183089,empereur romain
http://www.wikidata.org/entity/Q183089,sénateur romain
http://www.wikidata.org/entity/Q183144,
http://www.wikidata.org/entity/Q183332,sénateur romain
http://www.wikidata.org/entity/Q183420,
http://www.wikidata.org/entity/Q184549,empereur romain
http://www.wikidata.org/entity/Q184549,sénateur romain
http://www.wikidata.org/entity/Q185223,consul
http://www.wikidata.org/entity/Q185223,sénateur romain
http://www.wikidata.org/entity/Q185476,consul
http://www.wikidata.org/entity/Q185476,sénateur romain
http://www.wikidata.org/entity/Q185519,consul
http://www.wikidata.org/entity/Q185519,questeur
http://www.wikidata.org/entity/Q185519,légat
http://www.wikidata.org/entity/Q185519,interroi
http://www.wikidata.org/entity/Q185519,sénateur romain
http://www.wikidata.org/entity/Q185519,triumvir agris dandis assignandis
http://www.wikidata.org/entity/Q185538,empereur romain
http://www.wikidata.org/entity/Q185538,empereur byzantin
http://www.wikidata.org/entity/Q185538,sénateur romain
http://www.wikidata.org/entity/Q250668,
http://www.wikidata.org/entity/Q250824,consul
http://www.wikidata.org/entity/Q251382,sénateur romain
http://www.wikidata.org/entity/Q251964,consul
http://www.wikidata.org/entity/Q251964,préteur
http://www.wikidata.org/entity/Q251964,tribun de la plèbe
http://www.wikidata.org/entity/Q252841,consul
http://www.wikidata.org/entity/Q252841,sénateur romain
http://www.wikidata.org/entity/Q252849,
http://www.wikidata.org/entity/Q253484,
http://www.wikidata.org/entity/Q253762,consul
http://www.wikidata.org/entity/Q254261,consul
http://www.wikidata.org/entity/Q254261,sénateur romain
http://www.wikidata.org/entity/Q254471,régent
http://www.wikidata.org/entity/Q255143,empereur romain
http://www.wikidata.org/entity/Q255410,
http://www.wikidata.org/entity/Q255448,
http://www.wikidata.org/entity/Q255453,empereur romain
http://www.wikidata.org/entity/Q255462,
http://www.wikidata.org/entity/Q255465,préteur
http://www.wikidata.org/entity/Q255465,consul suffect
http://www.wikidata.org/entity/Q255465,sénateur romain
http://www.wikidata.org/entity/Q255778,
http://www.wikidata.org/entity/Q255870,
http://www.wikidata.org/entity/Q256015,
http://www.wikidata.org/entity/Q256048,
http://www.wikidata.org/entity/Q256316,
http://www.wikidata.org/entity/Q256439,
http://www.wikidata.org/entity/Q257448,
http://www.wikidata.org/entity/Q257819,
http://www.wikidata.org/entity/Q259083,sénateur romain
http://www.wikidata.org/entity/Q259126,sénateur romain
http://www.wikidata.org/entity/Q259150,empereur romain
http://www.wikidata.org/entity/Q259531,
http://www.wikidata.org/entity/Q259576,
http://www.wikidata.org/entity/Q260033,
http://www.wikidata.org/entity/Q260039,
http://www.wikidata.org/entity/Q260156,
http://www.wikidata.org/entity/Q260258,
http://www.wikidata.org/entity/Q261441,consul
http://www.wikidata.org/entity/Q261441,pontifex maximus
http://www.wikidata.org/entity/Q261441,tribun de la plèbe
http://www.wikidata.org/entity/Q261441,sénateur romain
http://www.wikidata.org/entity/Q261992,évêque
http://www.wikidata.org/entity/Q262368,
http://www.wikidata.org/entity/Q262766,
http://www.wikidata.org/entity/Q263355,
http://www.wikidata.org/entity/Q263385,impératrice régnante
http://www.wikidata.org/entity/Q263402,sénateur romain
http://www.wikidata.org/entity/Q263444,empereur romain
http://www.wikidata.org/entity/Q263459,
http://www.wikidata.org/entity/Q263892,questeur
http://www.wikidata.org/entity/Q265083,empereur romain
http://www.wikidata.org/entity/Q266030,
http://www.wikidata.org/entity/Q267534,consul
http://www.wikidata.org/entity/Q267534,sénateur romain
http://www.wikidata.org/entity/Q267630,consul
http://www.wikidata.org/entity/Q267630,sénateur romain
http://www.wikidata.org/entity/Q268087,
http://www.wikidata.org/entity/Q268744,empereur romain
http://www.wikidata.org/entity/Q268892,
http://www.wikidata.org/entity/Q268964,
http://www.wikidata.org/entity/Q269158,consul
http://www.wikidata.org/entity/Q269158,sénateur romain
http://www.wikidata.org/entity/Q269721,
http://www.wikidata.org/entity/Q270384,
http://www.wikidata.org/entity/Q270591,
http://www.wikidata.org/entity/Q272082,consul
http://www.wikidata.org/entity/Q272082,préteur
http://www.wikidata.org/entity/Q272082,questeur
http://www.wikidata.org/entity/Q272082,gouverneur romain
http://www.wikidata.org/entity/Q272082,tribun de la plèbe
http://www.wikidata.org/entity/Q272082,sénateur romain
http://www.wikidata.org/entity/Q272087,
http://www.wikidata.org/entity/Q272101,
http://www.wikidata.org/entity/Q272630,empereur
http://www.wikidata.org/entity/Q273100,
http://www.wikidata.org/entity/Q273253,empereur romain
http://www.wikidata.org/entity/Q273253,sénateur romain
http://www.wikidata.org/entity/Q273616,
http://www.wikidata.org/entity/Q273622,
http://www.wikidata.org/entity/Q273627,
http://www.wikidata.org/entity/Q273671,
http://www.wikidata.org/entity/Q273987,
http://www.wikidata.org/entity/Q274545,consul
http://www.wikidata.org/entity/Q274545,censeur
http://www.wikidata.org/entity/Q274545,dictateur
http://www.wikidata.org/entity/Q274545,sénateur romain
http://www.wikidata.org/entity/Q275606,
http://www.wikidata.org/entity/Q275899,
http://www.wikidata.org/entity/Q276309,gouverneur romain
http://www.wikidata.org/entity/Q276309,sénateur romain
http://www.wikidata.org/entity/Q277544,
http://www.wikidata.org/entity/Q278370,
http://www.wikidata.org/entity/Q280714,préteur
http://www.wikidata.org/entity/Q280714,gouverneur romain
http://www.wikidata.org/entity/Q280714,tribun de la plèbe
http://www.wikidata.org/entity/Q280869,consul
http://www.wikidata.org/entity/Q281025,consul
http://www.wikidata.org/entity/Q281025,préteur
http://www.wikidata.org/entity/Q210415,consul
http://www.wikidata.org/entity/Q210415,légat
http://www.wikidata.org/entity/Q210415,préfet de Rome
http://www.wikidata.org/entity/Q210415,interroi
http://www.wikidata.org/entity/Q210415,tribun militaire
http://www.wikidata.org/entity/Q210415,sénateur romain
http://www.wikidata.org/entity/Q210853,
http://www.wikidata.org/entity/Q211396,consul
http://www.wikidata.org/entity/Q211396,empereur romain
http://www.wikidata.org/entity/Q211396,sénateur romain
http://www.wikidata.org/entity/Q212109,questeur
http://www.wikidata.org/entity/Q212109,légat
http://www.wikidata.org/entity/Q212109,augure
http://www.wikidata.org/entity/Q212109,tribun de la plèbe
http://www.wikidata.org/entity/Q212109,sénateur romain
http://www.wikidata.org/entity/Q212109,triumvir agris dandis assignandis
http://www.wikidata.org/entity/Q212667,
http://www.wikidata.org/entity/Q212671,roi de Rome
http://www.wikidata.org/entity/Q212876,consul
http://www.wikidata.org/entity/Q212876,usurpateur romain
