item,epouse
http://www.wikidata.org/entity/Q718560,http://www.wikidata.org/entity/Q12274550
http://www.wikidata.org/entity/Q718782,t8992436
http://www.wikidata.org/entity/Q720358,t1124269076
http://www.wikidata.org/entity/Q720505,t850853634
http://www.wikidata.org/entity/Q720511,http://www.wikidata.org/entity/Q104641065
http://www.wikidata.org/entity/Q720836,t296612685
http://www.wikidata.org/entity/Q720836,t296612773
http://www.wikidata.org/entity/Q720855,http://www.wikidata.org/entity/Q2268436
http://www.wikidata.org/entity/Q721170,http://www.wikidata.org/entity/Q268964
http://www.wikidata.org/entity/Q721477,http://www.wikidata.org/entity/Q2126654
http://www.wikidata.org/entity/Q721605,t575504184
http://www.wikidata.org/entity/Q721788,http://www.wikidata.org/entity/Q233444
http://www.wikidata.org/entity/Q721800,t1124269083
http://www.wikidata.org/entity/Q721806,t1124269074
http://www.wikidata.org/entity/Q721898,http://www.wikidata.org/entity/Q12294118
http://www.wikidata.org/entity/Q721942,t1666280707
http://www.wikidata.org/entity/Q722098,t1935396767
http://www.wikidata.org/entity/Q722935,http://www.wikidata.org/entity/Q12141786
http://www.wikidata.org/entity/Q723230,t575504095
http://www.wikidata.org/entity/Q723447,t1666280749
http://www.wikidata.org/entity/Q725696,t1935396766
http://www.wikidata.org/entity/Q725696,t1935396832
http://www.wikidata.org/entity/Q728918,t9291157
http://www.wikidata.org/entity/Q731587,t1666553405
http://www.wikidata.org/entity/Q731587,t1666553441
http://www.wikidata.org/entity/Q732865,http://www.wikidata.org/entity/Q291907
http://www.wikidata.org/entity/Q741553,t1666553392
http://www.wikidata.org/entity/Q745111,t2241282747
http://www.wikidata.org/entity/Q745241,http://www.wikidata.org/entity/Q2068391
http://www.wikidata.org/entity/Q745586,t296900873
http://www.wikidata.org/entity/Q745715,t296900828
http://www.wikidata.org/entity/Q746582,t2217996053
http://www.wikidata.org/entity/Q761326,t1396296137
http://www.wikidata.org/entity/Q762148,http://www.wikidata.org/entity/Q3655749
http://www.wikidata.org/entity/Q763048,t1124545706
http://www.wikidata.org/entity/Q763627,http://www.wikidata.org/entity/Q433381
http://www.wikidata.org/entity/Q764119,t1666817135
http://www.wikidata.org/entity/Q764119,t1666817139
http://www.wikidata.org/entity/Q764528,http://www.wikidata.org/entity/Q12295764
http://www.wikidata.org/entity/Q764629,http://www.wikidata.org/entity/Q21710836
http://www.wikidata.org/entity/Q764874,t851131336
http://www.wikidata.org/entity/Q765997,http://www.wikidata.org/entity/Q469712
http://www.wikidata.org/entity/Q766216,t1124545660
http://www.wikidata.org/entity/Q766216,t1124545720
http://www.wikidata.org/entity/Q767986,http://www.wikidata.org/entity/Q12291748
http://www.wikidata.org/entity/Q770792,t2224530081
http://www.wikidata.org/entity/Q3655740,http://www.wikidata.org/entity/Q12276089
http://www.wikidata.org/entity/Q3655774,t312487452
http://www.wikidata.org/entity/Q3655836,http://www.wikidata.org/entity/Q100701237
http://www.wikidata.org/entity/Q3655959,http://www.wikidata.org/entity/Q96200806
http://www.wikidata.org/entity/Q3656115,http://www.wikidata.org/entity/Q2577717
http://www.wikidata.org/entity/Q3656115,http://www.wikidata.org/entity/Q6658867
http://www.wikidata.org/entity/Q3656275,t2244527799
http://www.wikidata.org/entity/Q3656280,t312750303
http://www.wikidata.org/entity/Q3656282,t866021683
http://www.wikidata.org/entity/Q3656285,t1681364449
http://www.wikidata.org/entity/Q3656292,t1410793066
http://www.wikidata.org/entity/Q3656292,t1410793101
http://www.wikidata.org/entity/Q3656292,t1410793115
http://www.wikidata.org/entity/Q3656324,t1950229487
http://www.wikidata.org/entity/Q3656496,t2244270224
http://www.wikidata.org/entity/Q297183,http://www.wikidata.org/entity/Q1642952
