itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pereLabel,mereLabel
Lucius Manlius Capitolinus Imperiosus,Lucius,Manlius,Imperiosus,Manlii,masculin,-0400-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2166417329,t2166417321,t2166417320
Lucius Manlius Capitolinus Imperiosus,Lucius,Manlius,Capitolinus,Manlii,masculin,-0400-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2166417329,t2166417321,t2166417320
Volero Publilius Philo,Volero,Publilius,Philo,Publilii,masculin,-0500-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2211212711,t2211212712,t2211212714
Lucius Verginius Tricostus,Lucius,Verginius,,Verginii,masculin,-0450-01-01T00:00:00Z,Rome,-0450-01-01T00:00:00Z,t2166424223,t2166424222,t2166424224
Decimus Junius Silanus,Decimus,Junius,Silanus,Junii,masculin,,Rome antique,,t2286533038,Decimus Junius Silanus,t2286533039
Lucius Cassius Longinus Ravilla,Lucius,Cassius,Longinus,Cassii,masculin,-0150-01-01T00:00:00Z,Rome antique,-0150-01-01T00:00:00Z,t2225254142,Quintus Cassius Longinus,t2225254132
Caenis,,Antonia,,Antonii,féminin,0050-01-01T00:00:00Z,,0074-01-01T00:00:00Z,Rome,,
Eutropia,,,,,féminin,0300-01-01T00:00:00Z,,0350-01-01T00:00:00Z,Rome,Constance Chlore,Théodora
Valérie de Milan,,Valeria,,Valerii,féminin,0050-01-01T00:00:00Z,Milan,0200-01-01T00:00:00Z,Rome,,
Titus Antonius Merenda,Titus,Antonius,Merenda,Antonii,masculin,t2116235940,Rome antique,-0500-01-01T00:00:00Z,t2116235941,t2116235935,t2116235934
Titus Aurelius Fulvus,Titus,Aurelius,Fulvus,Aurelii,masculin,0100-01-01T00:00:00Z,Nîmes,,,Titus Aurelius Fulvus,
Titus Quinctius Poenus Capitolinus Crispinus,Titus,Quinctius,Capitolinus,Quinctii,masculin,-0400-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2273114067,Titus Quinctius Cincinnatus Capitolinus,t2273114070
Titus Quinctius Poenus Capitolinus Crispinus,Titus,Quinctius,Pennus,Quinctii,masculin,-0400-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2273114067,Titus Quinctius Cincinnatus Capitolinus,t2273114070
Titus Quinctius Poenus Capitolinus Crispinus,Titus,Quinctius,Crispinus,Quinctii,masculin,-0400-01-01T00:00:00Z,Rome antique,-0400-01-01T00:00:00Z,t2273114067,Titus Quinctius Cincinnatus Capitolinus,t2273114070
Publius Cornelius Lentulus Marcellinus,Publius,Cornelius,Lentulus,Cornelii,masculin,-0051-01-01T00:00:00Z,,,,Cnaeus Cornelius Lentulus Marcellinus,
Publius Cornelius Lentulus Marcellinus,Publius,Cornelius,Marcellinus,Cornelii,masculin,-0051-01-01T00:00:00Z,,,,Cnaeus Cornelius Lentulus Marcellinus,
Saturninus,,Flavius,,Flavii,masculin,0350-01-01T00:00:00Z,,,,,
Paternus Tarruntenius,,,,,masculin,,,,,,
Lucius Sempronius Atratinus,Lucius,Sempronius,Atratinus,Sempronii,masculin,-0500-01-01T00:00:00Z,t2227443229,-0500-01-01T00:00:00Z,t2227443228,Aulus Sempronius Atratinus,t2227443224
Lucius Tettius Iulianus,Lucius,,,,masculin,0045-01-01T00:00:00Z,,,,,
Hyginus,,,,,masculin,t2290314672,,,,,
Lucius Fabius Cilo,Lucius,Fabius,Chilo,Fabii,masculin,0150-01-01T00:00:00Z,,0201-01-01T00:00:00Z,,,
Gaius Maenius,Caius,Maenius,,Maenii,masculin,-0350-01-01T00:00:00Z,Rome antique,-0350-01-01T00:00:00Z,t2166415004,t2166415011,t2166415009
Jules César,Caius,Julius,Caesar,Julii,masculin,-0099-07-01T00:00:00Z,Rome,-0043-03-13T00:00:00Z,théâtre de Pompée,Caius Julius Caesar,Aurelia Cotta
Virgile,Publius,Vergilius,,Vergilii,masculin,-0069-10-13T00:00:00Z,Borgo Virgilio,-0018-09-19T00:00:00Z,Brindisi,,Maglia Polla
Virgile,Publius,Vergilius,,Vergilii,masculin,-0069-10-13T00:00:00Z,Pietole,-0018-09-19T00:00:00Z,Brindisi,,Maglia Polla
Auguste,Caius,Julius,Caesar,Julii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caesar,Julii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Caepias,Julii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caepias,Julii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Thurinus,Julii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Thurinus,Julii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Caesar,Octavii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caesar,Octavii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Caepias,Octavii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caepias,Octavii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Thurinus,Octavii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Thurinus,Octavii,masculin,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
