item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere,epouse
http://www.wikidata.org/entity/Q93121717,Gratidia,,Gratidia,,Gratidii,féminin,t548970157,t548970153,t548970156,t548970155,http://www.wikidata.org/entity/Q1164987,http://www.wikidata.org/entity/Q93117204,
http://www.wikidata.org/entity/Q97211099,Paulla Cornelia,Paulla,Cornelia,,Cornelii,féminin,,,,,,,
http://www.wikidata.org/entity/Q45530,Eutropia,,,,,féminin,t2219404944,,t2219404941,,,,
http://www.wikidata.org/entity/Q51673,Marc Antoine,Marcus,Antonius,,Antonii,masculin,-0081-01-12T00:00:00Z,http://www.wikidata.org/entity/Q220,-0029-07-30T00:00:00Z,http://www.wikidata.org/entity/Q87,http://www.wikidata.org/entity/Q357585,http://www.wikidata.org/entity/Q6485329,
http://www.wikidata.org/entity/Q445785,Appius Claudius Pulcher,Appius,Claudius,,Claudii,masculin,-0150-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0132-01-01T00:00:00Z,t2256871765,http://www.wikidata.org/entity/Q779957,t2256871767,
http://www.wikidata.org/entity/Q543615,Volumnia,,Volumnia,,Volumnii,féminin,-0550-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,,t1122625966,t1122625875,t1122625959,
http://www.wikidata.org/entity/Q942138,Rubellius Plautus,,,,,masculin,0033-01-01T00:00:00Z,,0062-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1227324,http://www.wikidata.org/entity/Q266030,
http://www.wikidata.org/entity/Q1147586,Clodius Celsinus Adelphius,t2262394275,Clodius,Adelphius,Clodii,masculin,,,,,,,
http://www.wikidata.org/entity/Q1147586,Clodius Celsinus Adelphius,t2262394275,Clodius,Celsinus,Clodii,masculin,,,,,,,
http://www.wikidata.org/entity/Q3031793,Cornelia Major,,Cornelia,,Cornelii,féminin,,http://www.wikidata.org/entity/Q1747689,t2270611879,t2270611882,http://www.wikidata.org/entity/Q171083,http://www.wikidata.org/entity/Q4066696,
http://www.wikidata.org/entity/Q3589326,Éponine de Langres,,,,,féminin,,,0079-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,,,
http://www.wikidata.org/entity/Q7924698,Vibullia Alcia Agrippina,,Vibullia,Agrippina,Vibullii,féminin,0080-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1524,,,http://www.wikidata.org/entity/Q101105495,http://www.wikidata.org/entity/Q104626458,
http://www.wikidata.org/entity/Q10325341,Marcus Plautius Silvanus,Marcus,,,,masculin,-0050-01-01T00:00:00Z,,-0050-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q1232026,http://www.wikidata.org/entity/Q12284680,
http://www.wikidata.org/entity/Q11910936,Calpurnia,t1969495044,Calpurnia,,Calpurnii,féminin,-0150-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0081-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q6587844,t1969495100,
http://www.wikidata.org/entity/Q12272327,Arria la Jeune,,,,,féminin,0100-01-01T00:00:00Z,,0067-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q2724155,http://www.wikidata.org/entity/Q441774,
http://www.wikidata.org/entity/Q12295762,Sulpicia Agrippina,,,,,féminin,,,,,,,
http://www.wikidata.org/entity/Q12899377,Clodia,,Clodia,,Claudii,féminin,-0050-01-01T00:00:00Z,t612756975,-0060-01-01T00:00:00Z,t612756983,http://www.wikidata.org/entity/Q531923,http://www.wikidata.org/entity/Q6454825,
http://www.wikidata.org/entity/Q106291560,Mutilia Prisca,,,Prisca,,féminin,,,,,,,
http://www.wikidata.org/entity/Q2321555,Rufrius Crispinus,t1944715188,Rufrius,Crispinus,Rufrii,masculin,,t1944715171,0066-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1462,,,
http://www.wikidata.org/entity/Q2494981,Marcus Julius Gessius Marcianus,Marcus,Julius,,Julii,masculin,0150-01-01T00:00:00Z,,0218-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q4111991,Vipsania Marcella,t314305617,Vipsania,,Vipsanii,féminin,-0026-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q48174,http://www.wikidata.org/entity/Q180807,
http://www.wikidata.org/entity/Q5517477,Caius Salonius Matidius Patruinus,Caius,,,,masculin,,,0078-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q11914038,Claudius Quintianus Pompeianus,,,,,masculin,,,,,,,
http://www.wikidata.org/entity/Q16182420,Gaia,,,,,féminin,,,,,,,
http://www.wikidata.org/entity/Q16542257,Clodia,,Clodia,,Claudii,féminin,-0088-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,,,http://www.wikidata.org/entity/Q531923,http://www.wikidata.org/entity/Q6454825,
http://www.wikidata.org/entity/Q50126003,Claudia,,Claudia,,Claudii,féminin,-0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2281147453,t2281147454,http://www.wikidata.org/entity/Q445785,http://www.wikidata.org/entity/Q583523,
http://www.wikidata.org/entity/Q55371769,Vitellia,,Vitellia,,Vitellii,féminin,-0600-01-01T00:00:00Z,t735189000,t735188994,t735188992,http://www.wikidata.org/entity/Q98659434,t735189002,
http://www.wikidata.org/entity/Q236459,Julia Vipsania,,Vipsania,Agrippina,Vipsanii,féminin,-0018-01-01T00:00:00Z,http://www.wikidata.org/entity/Q38060,0028-01-01T00:00:00Z,http://www.wikidata.org/entity/Q51930,http://www.wikidata.org/entity/Q48174,http://www.wikidata.org/entity/Q2259,
http://www.wikidata.org/entity/Q241445,Statilia Messalina,,Statilia,Messalina,Statilii,féminin,0030-01-01T00:00:00Z,,t1119892059,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q718990,,
http://www.wikidata.org/entity/Q241445,Statilia Messalina,,Statilia,Messalina,Statilii,féminin,0035-01-01T00:00:00Z,,t1119892059,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q718990,,
http://www.wikidata.org/entity/Q442503,Pompeia Magna,,,,,féminin,-0070-01-01T00:00:00Z,,-0034-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q125414,http://www.wikidata.org/entity/Q273616,
http://www.wikidata.org/entity/Q450702,Flavius Julius Constantius,,Julius,,Julii,masculin,0289-01-01T00:00:00Z,,0337-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16869,http://www.wikidata.org/entity/Q131195,http://www.wikidata.org/entity/Q232094,
http://www.wikidata.org/entity/Q1893528,Marcie,,Marcia,,Marcii,féminin,-0150-01-01T00:00:00Z,t2263376201,t2263376198,t2263376190,http://www.wikidata.org/entity/Q1872296,t2263376195,
http://www.wikidata.org/entity/Q4769176,Annia Faustina,,Annia,,Annii,féminin,0165-01-01T00:00:00Z,,0210-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q7881718,
http://www.wikidata.org/entity/Q4815798,Atilia Caucidia Tertulla,,Atilia,,Atilii,féminin,,,,,http://www.wikidata.org/entity/Q1233612,http://www.wikidata.org/entity/Q12282306,
http://www.wikidata.org/entity/Q5194730,Curia,,,,,féminin,-0059-01-01T00:00:00Z,,-0004-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q5427629,Fabia Numantina,,Fabia,,Fabii,féminin,-0001-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q525629,http://www.wikidata.org/entity/Q544421,
http://www.wikidata.org/entity/Q12286061,Marcus Atius Balbus,Marcus,Atius,Balbus,Atii,masculin,-0147-01-01T00:00:00Z,http://www.wikidata.org/entity/Q241744,-0086-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,,,
http://www.wikidata.org/entity/Q94699005,Livia Scriboniana,,,,,féminin,,,,,http://www.wikidata.org/entity/Q544382,,
http://www.wikidata.org/entity/Q96578825,Galla,,,,,féminin,,,,,,,
http://www.wikidata.org/entity/Q100804879,Cornelia,,Cornelia,,Cornelii,féminin,,http://www.wikidata.org/entity/Q1747689,,t837353222,t837353089,t837353203,
http://www.wikidata.org/entity/Q104842701,Fundania,,,,,féminin,,,,,http://www.wikidata.org/entity/Q1247336,,
http://www.wikidata.org/entity/Q105495641,Pompeia Agrippinilla,,Pompeia,,Pompeii,féminin,,,,,,,
http://www.wikidata.org/entity/Q105871926,Calpurnia,,,,,féminin,,,,,http://www.wikidata.org/entity/Q709811,,
http://www.wikidata.org/entity/Q106042353,Calavia,,Calavia,,Calavii,féminin,,,,,http://www.wikidata.org/entity/Q7123156,http://www.wikidata.org/entity/Q106042440,
http://www.wikidata.org/entity/Q1830,Dèce,Caius,Decius,Trajanus,Messii,masculin,0201-01-01T00:00:00Z,http://www.wikidata.org/entity/Q946685,0251-07-01T00:00:00Z,http://www.wikidata.org/entity/Q331488,,,
http://www.wikidata.org/entity/Q1830,Dèce,Quintus,Messius,Trajanus,Decii,masculin,0201-01-01T00:00:00Z,http://www.wikidata.org/entity/Q946685,0251-07-01T00:00:00Z,http://www.wikidata.org/entity/Q331488,,,
http://www.wikidata.org/entity/Q443505,Tiberius Sempronius Gracchus,Tiberius,Sempronius,Gracchus,Sempronii,masculin,-0300-01-01T00:00:00Z,t2256999123,-0200-01-01T00:00:00Z,t2256999120,http://www.wikidata.org/entity/Q97622924,t2256999124,
http://www.wikidata.org/entity/Q449587,Claudia Pulchra,,Claudia,Pulchra,Claudii,féminin,-0013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,0026-01-01T00:00:00Z,t2257055727,http://www.wikidata.org/entity/Q3625067,http://www.wikidata.org/entity/Q8265475,
http://www.wikidata.org/entity/Q450708,Caius Asinius Gallus,Caius,Asinius,,Asinii,masculin,-0039-01-01T00:00:00Z,,0033-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q319273,http://www.wikidata.org/entity/Q106225611,
http://www.wikidata.org/entity/Q451516,Curion,Caius,Curius,,Curii,masculin,-0089-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0048-01-01T00:00:00Z,t2269785123,http://www.wikidata.org/entity/Q1401126,t2269785120,
http://www.wikidata.org/entity/Q464034,Tanaquil,Caia,Caecilia,,Caecilii,féminin,-0700-01-01T00:00:00Z,t2224487143,-0600-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2224487140,t2224487138,
http://www.wikidata.org/entity/Q469118,Pison,Caius,Calpurnius,Piso,Calpurnii,masculin,0050-01-01T00:00:00Z,,0065-04-19T00:00:00Z,http://www.wikidata.org/entity/Q220,,,
http://www.wikidata.org/entity/Q518928,Decimus Junius Silanus,Decimus,Junius,Silanus,Junii,masculin,-0150-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,,t2257288089,http://www.wikidata.org/entity/Q1283595,t2257288093,
http://www.wikidata.org/entity/Q521446,Publius Vatinius,Publius,Vatinius,,Vatinii,masculin,-0050-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0050-01-01T00:00:00Z,t2257251419,t2257251421,t2257251416,
http://www.wikidata.org/entity/Q650813,Marcus Julius Vestinus Atticus,Marcus,Julius,,Julii,masculin,0100-01-01T00:00:00Z,,0065-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1873593,,
http://www.wikidata.org/entity/Q703580,Lucius Aemilius Paullus,Lucius,Aemilius,,Aemilii,masculin,-0100-01-01T00:00:00Z,,0014-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q375849,http://www.wikidata.org/entity/Q2530944,
http://www.wikidata.org/entity/Q707738,Lucius Marcius Philippus,Lucius,Marcius,,Marcii,masculin,-0150-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0040-01-01T00:00:00Z,t2258069632,http://www.wikidata.org/entity/Q387928,t2258069636,
http://www.wikidata.org/entity/Q721788,Cnaeus Cornelius Lentulus Marcellinus,Cnaeus,Cornelius,Lentulus,Cornelii,masculin,-0001-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0047-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q3925304,http://www.wikidata.org/entity/Q105761815,
http://www.wikidata.org/entity/Q721788,Cnaeus Cornelius Lentulus Marcellinus,Cnaeus,Cornelius,Marcellinus,Cornelii,masculin,-0001-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0047-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q3925304,http://www.wikidata.org/entity/Q105761815,
http://www.wikidata.org/entity/Q878550,Marcus Aemilius Lepidus,Marcus,Aemilius,,Aemilii,masculin,0014-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0039-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q703580,http://www.wikidata.org/entity/Q236459,
http://www.wikidata.org/entity/Q947726,Claudius Pompeianus,Tiberius,Claudius,,Claudii,masculin,0125-01-01T00:00:00Z,http://www.wikidata.org/entity/Q200441,0193-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,,,
http://www.wikidata.org/entity/Q1159574,Lucius Aelius Lamia Plautius Aelianus,Lucius,Aelius,Lamia,Plautii,masculin,0045-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q655711,,
http://www.wikidata.org/entity/Q1159574,Lucius Aelius Lamia Plautius Aelianus,Lucius,Plautius,Lamia,Plautii,masculin,0045-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q655711,,
http://www.wikidata.org/entity/Q1159574,Lucius Aelius Lamia Plautius Aelianus,Lucius,Aelius,Aelianus,Plautii,masculin,0045-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q655711,,
http://www.wikidata.org/entity/Q1159574,Lucius Aelius Lamia Plautius Aelianus,Lucius,Plautius,Aelianus,Plautii,masculin,0045-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q655711,,
http://www.wikidata.org/entity/Q1227338,"Pomponius Bassus (consul, 211)",,Pomponius,,Pomponii,masculin,0200-01-01T00:00:00Z,,0221-01-01T00:00:00Z,,,,
